S1	S2	S5	S6	S7	S8	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20
249	242	211	393	298	218	253	213	301	289	298	280	96	178	406	162
785	709	698	1469	1474	920	787	690	913	1103	1261	1089	913	1269	1843	737
22	18	12	36	22	9	18	8	28	28	14	25	8	15	49	7
1369	1819	1217	2405	1842	1180	1615	1363	1630	1428	2024	1986	1308	1715	3256	1169
573	587	513	1156	864	476	590	552	786	767	846	875	310	428	1496	525
540	546	461	1066	1020	600	695	472	769	887	911	1022	853	1102	1457	479
1196	1583	1032	2140	1782	1191	1274	1109	1732	1738	1807	1730	998	1446	2854	1094
1551	1570	1348	2908	2455	1609	1726	1371	1844	1859	2309	1995	1213	1754	3766	1324
5362	6707	4361	9218	7433	4820	5849	4643	6469	6714	7419	7348	5576	6763	13581	5535
12	15	11	29	9	9	12	10	26	24	22	8	12	16	22	10
1867	2233	1858	3920	6947	4603	2258	1531	1733	1704	3791	3699	3228	4456	4383	1996
816	786	638	1343	1088	762	838	705	1074	1028	973	1148	529	741	1528	630
1781	1924	1572	3408	3143	1936	1735	1384	1911	2264	2887	2602	1797	2365	4376	1775
160	163	109	291	175	98	162	173	528	585	178	175	79	96	350	88
1	7	10	4	8	4	15	5	17	7	3	19	1	7	22	10
1647	2272	1488	2902	2752	1617	2047	1599	2381	2211	2338	2384	1896	2518	3712	1605
1075	1172	904	1950	1376	860	1076	901	1270	1399	1341	1327	875	1266	2351	874
2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	197
324	385	291	568	475	286	377	244	297	259	388	418	301	333	585	193
1409	1626	1281	2500	1963	1237	1551	1313	1898	1997	1950	1936	1542	1960	2982	1221
62	61	62	109	88	57	80	94	131	98	106	121	87	111	213	89
872	1037	902	2040	1382	849	1266	1015	1729	1974	1556	1555	771	1334	2844	1119
12	2	10	6	15	6	14	2	16	14	9	9	6	7	17	7
178	254	132	338	202	161	199	122	213	225	196	213	51	119	459	88
12	8	14	41	26	13	16	15	32	25	23	37	21	18	28	17
1	0	2	3	1	0	0	1	0	4	3	0	1	2	1	0
74	108	71	180	128	95	101	94	108	139	145	128	52	76	172	88
507	566	438	965	638	381	550	395	701	644	579	655	589	622	1074	445
19	32	35	52	20	18	27	36	29	43	26	47	42	47	68	30
219	234	170	291	252	164	279	184	177	194	313	290	115	189	559	187
709	861	703	1475	1175	737	792	634	854	922	1131	1047	496	775	1796	757
190	225	134	355	347	192	227	187	203	214	267	307	85	182	427	170
3	1	3	0	2	0	0	1	3	0	6	5	0	2	8	1
1322	1954	1309	2571	2094	1498	1572	1281	1873	2155	2029	1786	1191	1517	3159	1229
2239	2342	2008	4359	5544	3559	2867	2307	4161	4375	3081	3246	2288	3381	5536	2040
4944	5317	4363	10331	5128	3281	4967	3868	4079	3733	7626	7498	4508	6402	12286	4782
23	52	24	60	64	29	38	36	93	87	41	58	18	2	112	17
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3048	3494	2559	5345	3939	2791	3555	2716	3626	3262	3369	4167	1176	1613	6105	2365
498	585	480	1014	909	481	511	421	580	608	666	719	392	490	1212	407
430	424	363	769	749	451	423	346	584	622	666	644	854	848	1140	455
12	26	13	47	20	28	17	19	33	28	25	14	0	11	46	20
2244	2477	1944	4131	3388	2180	2481	1890	2984	2756	3188	3161	2218	2574	4959	1934
1909	2381	1532	3128	2376	1582	1993	1674	2447	2356	2146	2224	1036	1497	3531	1475
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2982	3688	2603	5055	4987	3305	3322	2626	4219	3843	4292	3843	3870	5214	6359	2683
6124	7159	5529	10908	13050	8323	7360	5827	10597	10244	6121	6567	8085	10322	12346	4764
1270	1378	1104	2333	2165	1502	1522	1222	2889	2852	1804	1897	1185	1503	2885	1091
1270	1413	1148	2534	2621	1624	1767	1465	2548	2545	2068	1874	839	1244	3517	1445
366	364	305	765	758	543	587	476	867	841	606	637	144	327	919	346
1638	1811	1223	3085	2139	1484	1501	1112	1329	1252	1729	1783	1582	1876	3500	1273
635	610	553	1064	842	596	699	544	827	888	974	964	331	572	1416	536
1600	1825	1215	2675	1968	1231	1595	1325	1330	1169	1719	1675	766	1093	3075	1134
473	488	465	1023	721	381	525	399	466	533	776	593	394	696	1120	365
94	117	83	137	175	82	109	82	135	143	129	92	56	75	182	73
147	231	148	297	320	208	200	150	317	275	253	258	125	191	330	157
608	734	544	1133	812	556	688	627	747	777	865	1020	528	789	1370	560
7	7	3	7	7	4	9	6	0	6	17	9	31	11	24	6
313	407	292	508	222	134	306	239	600	605	442	296	254	255	910	342
5	8	7	8	11	2	11	0	5	4	10	3	1	1	27	7
162	277	156	279	281	237	172	173	229	302	302	301	204	298	381	135
1190	1255	1041	2392	2363	1588	1334	1154	1830	1925	1752	1722	687	1041	2873	1052
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1288	1785	1221	2376	4046	2719	2037	1550	1990	1971	1785	1893	1394	2155	2942	1221
3241	4037	2864	5441	5827	3626	3552	2590	4586	4228	3951	3824	3269	4008	6833	2791
1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1588	1655	1418	3177	2535	1552	1780	1505	2217	2290	2356	2392	1366	2137	3957	1495
2488	2810	2277	4143	3294	1946	2201	1935	3876	4673	1613	1559	1989	3052	4163	1675
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58	82	63	143	76	54	78	66	117	73	91	63	70	81	156	65
337	402	349	641	535	315	463	380	624	645	595	662	396	492	1215	422
1412	1664	1243	2919	2209	1357	1745	1362	1910	1894	2211	2255	1333	1937	3793	1480
212	268	158	368	280	215	219	180	201	188	266	284	200	334	436	173
1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1062	1217	826	1853	1594	988	1449	1099	3888	4117	1944	1767	1171	1388	2174	896
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9278	11049	7870	16006	8696	5906	9530	7714	9326	9662	12789	13098	6910	9436	17157	7161
635	781	541	1168	776	492	693	548	694	658	874	834	298	498	1301	487
0	5	5	6	6	1	1	6	4	4	9	7	3	6	10	8
0	2	1	6	1	0	9	0	0	1	1	9	0	7	15	2
